full_name,resale_price,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,price_per_km,log_resale_price
2014 Audi A4 2.0 TDI,12,2014,1968,Third Party insurance,Automatic,30000,Second Owner,Diesel,147.51,5,16.55,Sedan,Agra,0.0004,2.564949357
2022 Hyundai i20 Sportz BSVI,8,2022,1197,Third Party insurance,Manual,10000,First Owner,Petrol,81.8,5,21,Hatchback,Agra,0.0008,2.197224577
2012 Volkswagen Polo Diesel Trendline 1.2L,2,2012,1199,Third Party insurance,Manual,80000,Fifth Owner,Diesel,73.9,5,22.07,Hatchback,Agra,2.50E-05,1.098612289
2019 Maruti Vitara Brezza VDi,7.4,2019,1248,Third Party insurance,Manual,80000,Second Owner,Diesel,88.5,5,24.3,SUV,Agra,9.25E-05,2.128231706
2009 Hyundai Santro Xing GLS,1.5,2009,1086,Third Party insurance,Manual,30000,First Owner,Petrol,62.1,5,17.92,Hatchback,Agra,5.00E-05,0.916290732
2016 Maruti Swift Dzire VDI,5.2,2016,1248,Third Party insurance,Manual,30000,First Owner,Diesel,74,5,26.59,Sedan,Agra,0.000173333,1.824549292
2010 Hyundai i10 Sportz 1.2,1.7,2010,1197,Third Party insurance,Manual,80000,Third Owner,Petrol,78.9,5,20.36,Hatchback,Agra,2.12E-05,0.993251773
2021 Hyundai Venue S BSIV,7.1,2021,1197,Third Party insurance,Manual,30000,First Owner,Petrol,81.86,5,17.52,SUV,Agra,0.000236667,2.091864062
2021 Skoda Rapid 1.0 TSI Onyx,9.5,2021,999,Third Party insurance,Manual,20000,First Owner,Petrol,108.62,5,18.97,Sedan,Agra,0.000475,2.351375257
2013 Ford Figo Diesel ZXI,2.4,2013,1399,Third Party insurance,Manual,70000,First Owner,Diesel,68.05,5,20,Hatchback,Agra,3.43E-05,1.223775432
2021 Skoda Rapid 1.0 TSI Onyx,9.3,2021,999,Third Party insurance,Manual,20000,First Owner,Petrol,108.62,5,18.97,Sedan,Agra,0.000465,2.332143895
2022 MG Hector Plus Select Diesel MT 7 STR,19.22,2022,1956,Third Party insurance,Manual,20000,First Owner,Diesel,167.67,7,16.56,SUV,Agra,0.000961,3.006672214
2013 Hyundai EON D Lite,1.5,2013,814,Third Party insurance,Manual,50000,Second Owner,Petrol,55.2,5,21.1,Hatchback,Agra,3.00E-05,0.916290732
2015 Hyundai Grand i10 Magna,3.8,2015,1197,Third Party insurance,Manual,30000,First Owner,Petrol,82,5,18.9,Hatchback,Agra,0.000126667,1.568615918
2021 Tata Punch Adventure BSVI,5.9,2021,1199,Third Party insurance,Manual,30000,First Owner,Petrol,86.63,5,20.09,SUV,Agra,0.000196667,1.931521412
2016 Volkswagen Polo 1.5 TDI Comfortline,4,2016,1498,Third Party insurance,Manual,150000,First Owner,Diesel,88,5,20.14,Hatchback,Agra,2.67E-05,1.609437912
2013 Toyota Etios Liva GD,3,2013,1364,Third Party insurance,Manual,40000,First Owner,Diesel,67.06,5,23.59,Hatchback,Agra,7.50E-05,1.386294361
2017 Renault Duster 85PS Diesel RxE,5,2017,1461,Third Party insurance,Manual,120000,First Owner,Diesel,83.8,5,19.87,SUV,Agra,4.17E-05,1.791759469
2015 Maruti Alto 800 LXI,2.1,2015,796,Third Party insurance,Manual,20000,First Owner,Petrol,47.3,5,22.74,Hatchback,Agra,0.000105,1.131402111
2009 Maruti Wagon R LX Minor,1,2009,998,Third Party insurance,Manual,90000,Second Owner,Petrol,67.1,5,18.9,Hatchback,Agra,1.11E-05,0.693147181
2015 Mahindra XUV500 W10 2WD,9,2015,2179,Third Party insurance,Manual,50000,First Owner,Diesel,140,7,16,SUV,Agra,0.00018,2.302585093
2020 Kia Seltos HTX Diesel,13.49,2020,1493,Third Party insurance,Manual,70000,First Owner,Diesel,113.43,5,20.8,SUV,Agra,0.000192714,2.673458756
2019 Maruti Swift Dzire VDI,6.5,2019,1248,Third Party insurance,Manual,50000,First Owner,Diesel,74.02,5,28.4,Sedan,Agra,0.00013,2.014903021
2019 Maruti Wagon R LXI,4.75,2019,998,Third Party insurance,Manual,20000,First Owner,Petrol,67.05,5,21.79,Hatchback,Agra,0.0002375,1.749199855
2014 Nissan Terrano XE 85 PS,3.2,2014,1461,Third Party insurance,Manual,90000,Second Owner,Diesel,83.8,5,20.45,SUV,Agra,3.56E-05,1.435084525
2019 Maruti Swift Dzire VDI,6.5,2019,1248,Third Party insurance,Manual,50000,First Owner,Diesel,74.02,5,28.4,Sedan,Agra,0.00013,2.014903021
2015 Hyundai Grand i10 Sportz,3.7,2015,1197,Third Party insurance,Manual,60000,Second Owner,Petrol,82,5,18.9,Hatchback,Agra,6.17E-05,1.547562509
2009 Maruti Wagon R LXI Minor,1.1,2009,1061,Third Party insurance,Manual,90000,Second Owner,Petrol,67,5,18.9,Hatchback,Agra,1.22E-05,0.741937345
2009 Chevrolet Spark 1.0 LT Option Pack,50000,2009,995,Third Party insurance,Manual,60000,Second Owner,Petrol,635400,5,16,Hatchback,Agra,0.833333333,10.81979828
2020 Ford Figo Titanium Diesel,5.5,2020,1499,Third Party insurance,Manual,60000,Second Owner,Diesel,98.96,5,24.4,Hatchback,Agra,9.17E-05,1.871802177
2015 Honda Jazz 1.5 E i DTEC,3.9,2015,1498,Third Party insurance,Manual,90000,Second Owner,Diesel,98.6,5,27.3,Hatchback,Agra,4.33E-05,1.589235205
2017 Hyundai i10 Magna 1.1L,2.5,2017,1086,Third Party insurance,Manual,20000,Second Owner,Petrol,68.05,5,19.81,Hatchback,Agra,0.000125,1.252762968
2013 Maruti Alto 800 VXI,2,2013,796,Third Party insurance,Manual,80000,First Owner,Petrol,47.3,5,22.74,Hatchback,Agra,2.50E-05,1.098612289
2022 Maruti Swift Dzire VXI BSVI,7.25,2022,1197,Third Party insurance,Manual,10000,First Owner,Petrol,88.5,5,22.41,Sedan,Agra,0.000725,2.1102132
2017 Honda Jazz 1.5 V i DTEC,4.5,2017,1498,Third Party insurance,Manual,110000,First Owner,Diesel,98.6,5,27.3,Hatchback,Agra,4.09E-05,1.704748092
2017 Honda City i-DTEC ZX,7.5,2017,1498,Third Party insurance,Manual,120000,First Owner,Diesel,97.9,5,25.6,Sedan,Agra,6.25E-05,2.140066163
2011 Toyota Etios Liva GD,2.15,2011,1364,Third Party insurance,Manual,70000,Third Owner,Diesel,,5,23.59,Hatchback,Agra,3.07E-05,1.147402453
2013 Maruti Alto 800 VXI,2.06,2013,796,Third Party insurance,Manual,80000,First Owner,Petrol,47.3,5,22.74,Hatchback,Agra,2.58E-05,1.118414916
2015 Mahindra XUV500 W8 2WD,5.5,2015,2179,Third Party insurance,Manual,120000,First Owner,Diesel,140,7,16,SUV,Agra,4.58E-05,1.871802177
2012 Maruti Wagon R LXI CNG,2.5,2012,998,Third Party insurance,Manual,150000,First Owner,CNG,58.2,5,26.2,Hatchback,Agra,1.67E-05,1.252762968
2013 Maruti Alto 800 VXI,2.1,2013,796,Third Party insurance,Manual,80000,First Owner,Petrol,47.3,5,22.74,Hatchback,Agra,2.63E-05,1.131402111
2011 Toyota Etios V,2.5,2011,1496,Third Party insurance,Manual,70000,Second Owner,Petrol,,5,17.6,Sedan,Agra,3.57E-05,1.252762968
2016 Renault KWID RXL,1.85,2016,799,Third Party insurance,Manual,60000,Second Owner,Petrol,53.3,5,25.17,Hatchback,Agra,3.08E-05,1.047318994
2014 Hyundai Grand i10 Sportz,3,2014,1197,Third Party insurance,Manual,70000,Third Owner,Petrol,82,5,18.9,Hatchback,Agra,4.29E-05,1.386294361
2009 Chevrolet Spark 1.0 LT,50000,2009,995,Third Party insurance,Manual,60000,Third Owner,Petrol,62,5,18,Hatchback,Agra,0.833333333,10.81979828
2009 Chevrolet Spark 1.0 LT,50000,2009,995,Third Party insurance,Manual,60000,Second Owner,Petrol,62,5,18,Hatchback,Agra,0.833333333,10.81979828
2013 Hyundai Grand i10 CRDi Sportz,2.5,2013,1120,Third Party insurance,Manual,100000,Second Owner,Diesel,70,5,24,Hatchback,Agra,2.50E-05,1.252762968
2012 Maruti SX4 ZXI MT BSIV,1.9,2012,1586,Third Party insurance,Manual,120000,Second Owner,Petrol,103.3,5,15.5,Sedan,Agra,1.58E-05,1.064710737
2019 Maruti Swift Dzire VXI 1.2,6.5,2019,1197,Third Party insurance,Manual,40000,First Owner,Petrol,81.8,5,21.21,Sedan,Agra,0.0001625,2.014903021
2013 Mahindra Scorpio VLX SE BSIV,5,2013,2179,Third Party insurance,Manual,80000,First Owner,Diesel,12086.7,8,15.4,SUV,Agra,6.25E-05,1.791759469
2013 Honda Amaze E i-Dtech,1.9,2013,1498,Third Party insurance,Manual,120000,First Owner,Diesel,98.6,5,25.8,Sedan,Agra,1.58E-05,1.064710737
2019 Maruti Baleno 1.2 Zeta,5.7,2019,1197,Third Party insurance,Manual,80000,Second Owner,Petrol,83.1,5,21.4,Hatchback,Agra,7.13E-05,1.902107526
2014 Maruti Swift Dzire ZDI,3.5,2014,1248,Third Party insurance,Manual,80000,Second Owner,Diesel,74,5,23.4,Sedan,Agra,4.38E-05,1.504077397
2014 Honda City i DTEC S,3.8,2014,1498,Third Party insurance,Manual,120000,Fourth Owner,Diesel,98.6,5,26,Sedan,Agra,3.17E-05,1.568615918
2019 Maruti Vitara Brezza VDi,7.8,2019,1248,Third Party insurance,Manual,100000,First Owner,Diesel,88.5,5,24.3,SUV,Agra,7.80E-05,2.174751721
2018 Renault KWID STD,2.4,2018,799,Third Party insurance,Manual,20000,First Owner,Petrol,53.3,5,25.17,Hatchback,Agra,0.00012,1.223775432
2021 Tata Nexon XM BSVI,8.4,2021,1199,Third Party insurance,Manual,10000,First Owner,Petrol,118.35,5,17.33,SUV,Agra,0.00084,2.240709689
2013 Ford Ecosport 1.5 DV5 MT Trend,2.5,2013,1498,Third Party insurance,Manual,100000,Second Owner,Diesel,89.84,5,22.7,SUV,Agra,2.50E-05,1.252762968
2014 Maruti Swift VDI BSIV,4,2014,1248,Third Party insurance,Manual,100000,Second Owner,Diesel,74,5,25.2,Hatchback,Agra,4.00E-05,1.609437912
2009 Maruti Wagon R LXI Minor,1.5,2009,1061,Third Party insurance,Manual,80000,First Owner,Petrol,67,5,18.9,Hatchback,Agra,1.88E-05,0.916290732
2009 Tata Indica Aqua 1.3 Quadrajet,1,2009,1248,Third Party insurance,Manual,70000,Second Owner,Diesel,754000,5,18,Hatchback,Agra,1.43E-05,0.693147181
2020 Mahindra XUV500 W7,12.75,2020,2179,Third Party insurance,Manual,50000,First Owner,Diesel,152.87,7,15.1,SUV,Agra,0.000255,2.621038824
2015 Datsun GO Plus T BSIV,2.7,2015,1198,Third Party insurance,Manual,30000,Second Owner,Petrol,67,7,19.44,MUV,Agra,9.00E-05,1.30833282
2020 Mahindra XUV500 W7,12.75,2020,2179,Third Party insurance,Manual,50000,First Owner,Diesel,152.87,7,15.1,SUV,Agra,0.000255,2.621038824
2012 Chevrolet Beat Diesel,2.2,2012,936,Third Party insurance,Manual,70000,Second Owner,Diesel,57.6,5,25.44,Hatchback,Agra,3.14E-05,1.16315081
2017 Ford Aspire 1.5 TDCi Titanium,6,2017,1498,Third Party insurance,Manual,50000,First Owner,Diesel,99,5,25.83,Sedan,Agra,0.00012,1.945910149
2016 Mahindra XUV500 W4,9,2016,2179,Third Party insurance,Manual,50000,First Owner,Diesel,140,7,16,SUV,Agra,0.00018,2.302585093
2019 Maruti Wagon R ZXI 1.2,4.95,2019,1197,Third Party insurance,Manual,20000,First Owner,Petrol,81.8,5,20.52,Hatchback,Agra,0.0002475,1.78339122
2022 Mahindra XUV300 W8 Option AMT BSVI,9.8,2022,1197,Third Party insurance,Automatic,60000,First Owner,Petrol,108.62,5,16.5,SUV,Agra,0.000163333,2.379546134
2019 Kia Seltos GTX DCT,13.75,2019,1353,Third Party insurance,Automatic,20000,First Owner,Petrol,138,5,16.2,SUV,Agra,0.0006875,2.691243083
2015 Maruti Wagon R VXI BS IV,3.4,2015,998,Third Party insurance,Manual,40000,First Owner,Petrol,67.04,5,20.51,Hatchback,Agra,8.50E-05,1.481604541
2020 MG Hector Sharp DCT,13,2020,1451,Third Party insurance,Automatic,40000,Second Owner,Petrol,141,5,13.96,SUV,Agra,0.000325,2.63905733
2019 Tata Nexon 1.2 Revotron XT,6,2019,1198,Third Party insurance,Manual,70000,First Owner,Petrol,108.5,5,17,SUV,Agra,8.57E-05,1.945910149
2012 Honda Brio V MT,3,2012,1198,Third Party insurance,Manual,60000,First Owner,Petrol,86.8,5,19.4,Hatchback,Agra,5.00E-05,1.386294361
2013 Renault Fluence Diesel E4,5,2013,1461,Third Party insurance,Manual,150000,Second Owner,Diesel,78,5,21.8,Sedan,Agra,3.33E-05,1.791759469
2020 Toyota Yaris G Optional,10.99,2020,1496,Third Party insurance,Manual,40000,First Owner,Petrol,105.94,5,17.1,Sedan,Agra,0.00027475,2.484072969
2011 Honda City 1.5 V MT,3.5,2011,1497,Third Party insurance,Manual,90000,Second Owner,Petrol,1186600,5,17,Sedan,Agra,3.89E-05,1.504077397
2019 Renault Triber RXL BSIV,4.35,2019,999,Third Party insurance,Manual,20000,First Owner,Petrol,72,7,20,MUV,Agra,0.0002175,1.677096561
2012 Maruti Wagon R LXI BS IV,1.86,2012,998,Third Party insurance,Manual,100000,Second Owner,Petrol,67.1,5,18.9,Hatchback,Agra,1.86E-05,1.050821625
2022 Maruti Eeco CNG 5 Seater AC,6.25,2022,1196,Third Party insurance,Manual,20000,First Owner,CNG,61.68,5,20.88,Minivans,Agra,0.0003125,1.981001469
2022 Maruti Eeco CNG 5 Seater AC,6.25,2022,1196,Third Party insurance,Manual,20000,First Owner,CNG,61.68,5,20.88,Minivans,Agra,0.0003125,1.981001469
2012 Renault Duster 110PS Diesel RxZ,4.5,2012,1461,Third Party insurance,Manual,120000,Second Owner,Diesel,108.45,5,19.01,SUV,Agra,3.75E-05,1.704748092
2017 Hyundai i20 1.4 Asta,6.5,2017,1396,Third Party insurance,Manual,80000,First Owner,Diesel,88.73,5,22.54,Hatchback,Agra,8.13E-05,2.014903021
2018 Maruti Wagon R LXI CNG,3.5,2018,998,Third Party insurance,Manual,150000,First Owner,CNG,58.16,5,26.6,Hatchback,Agra,2.33E-05,1.504077397
2009 Hyundai i10 Magna 1.2,1.3,2009,1197,Third Party insurance,Manual,50000,First Owner,Petrol,78.9,5,20.36,Hatchback,Agra,2.60E-05,0.832909123
2017 Maruti Swift VDI BSIV,5,2017,1248,Third Party insurance,Manual,70000,First Owner,Diesel,74,5,25.2,Hatchback,Agra,7.14E-05,1.791759469
2021 Mahindra Bolero B6 Opt BSVI,9.5,2021,1493,Third Party insurance,Manual,10000,First Owner,Diesel,74.96,7,16,SUV,Agra,0.00095,2.351375257
2017 Hyundai Creta 1.6 CRDi SX,7,2017,1582,Third Party insurance,Manual,120000,Third Owner,Diesel,126.2,5,19.67,SUV,Agra,5.83E-05,2.079441542
2009 Ford Fiesta 1.4 ZXi TDCi ABS,1.4,2009,1399,Third Party insurance,Manual,120000,Third Owner,Diesel,68,5,17.8,Sedan,Agra,1.17E-05,0.875468737
2010 Tata New Safari DICOR 2.2 LX 4x2,2,2010,2179,Third Party insurance,Manual,120000,First Owner,Diesel,138.1,7,11.57,SUV,Agra,1.67E-05,1.098612289
2018 Renault KWID Climber 1.0 AMT,3.2,2018,999,Third Party insurance,Automatic,20000,First Owner,Petrol,67,5,24.04,Hatchback,Agra,0.00016,1.435084525
2011 Hyundai i10 Magna,2,2011,1197,Third Party insurance,Manual,40000,First Owner,Petrol,78.9,5,20.36,Hatchback,Agra,5.00E-05,1.098612289
2015 Hyundai i20 Magna 1.2,4.1,2015,1197,Third Party insurance,Manual,90000,Second Owner,Petrol,81.83,5,18.6,Hatchback,Agra,4.56E-05,1.62924054
2016 Maruti Swift VXI,4.4,2016,1197,Third Party insurance,Manual,30000,Second Owner,Petrol,81.8,5,21.21,Hatchback,Agra,0.000146667,1.686398954
2022 Jeep Compass Model S DCT BSVI,25,2022,1368,Third Party insurance,Automatic,20000,First Owner,Petrol,160.77,5,14.1,SUV,Agra,0.00125,3.258096538
2019 Maruti Swift Dzire VXI 1.2,6.5,2019,1197,Third Party insurance,Manual,40000,First Owner,Petrol,81.8,5,21.21,Sedan,Agra,0.0001625,2.014903021
2020 Toyota Glanza G,6.3,2020,1197,Third Party insurance,Manual,30000,First Owner,Petrol,81.8,5,21.01,Hatchback,Agra,0.00021,1.987874348
2012 Toyota Etios GD,2,2012,1364,Third Party insurance,Manual,150000,Fourth Owner,Diesel,,5,23.59,Sedan,Agra,1.33E-05,1.098612289
2018 Maruti Eeco 7 Seater Standard BSIV,3.5,2018,1196,Third Party insurance,Manual,100000,Second Owner,Petrol,73,7,15.37,Minivans,Agra,3.50E-05,1.504077397
2016 Honda Amaze S Diesel BSIV,4,2016,1498,Third Party insurance,Manual,150000,First Owner,Diesel,98.63,5,27.4,Sedan,Agra,2.67E-05,1.609437912
2011 Chevrolet Beat LT,1.5,2011,1199,Third Party insurance,Manual,90000,First Owner,Petrol,79.4,5,18.6,Hatchback,Agra,1.67E-05,0.916290732
2016 Honda Amaze E Diesel BSIV,4.25,2016,1498,Third Party insurance,Manual,150000,First Owner,Diesel,98.63,5,27.4,Sedan,Agra,2.83E-05,1.658228077
2016 Maruti Swift Dzire VDI,4.25,2016,1248,Third Party insurance,Manual,80000,Second Owner,Diesel,74,5,26.59,Sedan,Agra,5.31E-05,1.658228077
2017 Maruti Swift Dzire VXI,4,2017,1197,Third Party insurance,Manual,70000,Second Owner,Petrol,83.14,5,20.85,Sedan,Agra,5.71E-05,1.609437912
2016 Maruti Swift VXI,4.6,2016,1197,Third Party insurance,Manual,30000,Second Owner,Petrol,81.8,5,21.21,Hatchback,Agra,0.000153333,1.722766598
2017 Mahindra KUV 100 mFALCON D75 K8,3.3,2017,1198,Third Party insurance,Manual,70000,First Owner,Diesel,77,6,25.32,SUV,Agra,4.71E-05,1.458615023
2021 Nissan Magnite XE BSVI,4.7,2021,999,Third Party insurance,Manual,30000,First Owner,Petrol,71.02,5,18.75,SUV,Agra,0.000156667,1.740466175
2018 Hyundai Creta 1.6 SX Automatic Diesel,11.5,2018,1582,Third Party insurance,Automatic,70000,Second Owner,Diesel,126.2,5,17.6,SUV,Agra,0.000164286,2.525728644
2020 Maruti Ciaz Delta BSVI,7.25,2020,1462,Third Party insurance,Manual,60000,Second Owner,Petrol,103.25,5,20.65,Sedan,Agra,0.000120833,2.1102132
